race_code,Ｒ,場コード,距離,コース,頭数,クラス名,馬番,枠番,ketto_toroku_bango,馬名,年齢,性別,騎手,調教師,馬主(最新/仮想),斤量,オッズ,人気
2026062810020201,01,10,1200,17,18,703,01,1,2023102145,ホーリーステップ,03,2,森田誠也,斉藤崇史,ホシノレーシング,520,0129,03
2026062810020201,01,10,1200,17,18,703,02,1,2023101400,ハイソリア,03,2,太宰啓介,昆貢　　,エラドゥーラ,550,0943,13
2026062810020201,01,10,1200,17,18,703,03,2,2023102639,ランスオブラヴ,03,2,柴田裕一,奥村豊　,五影　慶則,530,0594,09
2026062810020201,01,10,1200,17,18,703,04,2,2023109072,ベルセクレト,03,2,田山旺佑,藤岡健一,那須野牧場,530,1535,15
2026062810020201,01,10,1200,17,18,703,05,3,2023100429,ジョービスコッティ,03,2,吉村誠之,清水久詞,上田　江吏子,550,0026,02
2026062810020201,01,10,1200,17,18,703,06,3,2023101877,キャッチミークライ,03,2,松若風馬,牧田和弥,畑佐　博,550,1517,14
2026062810020201,01,10,1200,17,18,703,07,4,2023107038,ディオレガーロ,03,2,幸英明　,長谷川浩,サンデーレーシング,550,0347,07
2026062810020201,01,10,1200,17,18,703,08,4,2023105833,セレブトーチ,03,2,川端海翼,坂口智康,中村　伊三美,520,0187,04
2026062810020201,01,10,1200,17,18,703,09,5,2023106856,アンガーザガール,03,2,西村淳也,東田明士,ＳＳレーシング,550,0019,01
2026062810020201,01,10,1200,17,18,703,10,5,2023101738,サンシャインビーチ,03,2,高倉稜　,渡辺薫彦,高昭牧場,550,0895,12
2026062810020201,01,10,1200,17,18,703,11,6,2023100144,エンブルーシャ,03,2,富田暁　,武英智　,奥　雅哉,550,0324,06
2026062810020201,01,10,1200,17,18,703,12,6,2023103081,ヴィーラー,03,2,菱田裕二,矢作芳人,黒岩　剛史,550,0634,10
2026062810020201,01,10,1200,17,18,703,13,7,2023104818,メイショウピュルテ,03,2,西塚洸二,笹田和秀,松本　好隆,550,0214,05
2026062810020201,01,10,1200,17,18,703,14,7,2023101170,ザムーン,03,2,酒井学　,千田輝彦,ゴドルフィン,550,0361,08
2026062810020201,01,10,1200,17,18,703,15,7,2023105623,テイエムリチャード,03,2,川須栄彦,鈴木孝志,竹園　正繼,550,3316,17
2026062810020201,01,10,1200,17,18,703,16,8,2023103685,リーガルスプレンダ,03,2,加藤祥太,庄野靖志,吉田　晴哉,550,0800,11
2026062810020201,01,10,1200,17,18,703,17,8,2023101884,フルーツベイビー,03,2,国分優作,畑端省吾,ｇｌｉｔｔｅｒＧ,550,2488,16
2026062810020201,01,10,1200,17,18,703,18,8,2023101263,チェラブ,03,2,藤懸貴志,平田修　,小林　竜太郎,550,3639,18
2026062810020202,02,10,1800,17,16,703,01,1,2023102357,ブランチアウト,03,1,太宰啓介,昆貢　　,ノルマンディーサラブレッドレーシング,570,0036,02
2026062810020202,02,10,1800,17,16,703,02,1,2023103357,マサハヤルージュ,03,2,吉村誠之,千田輝彦,ドリーム＆Ｄｒｅａｍ,550,0352,08
2026062810020202,02,10,1800,17,16,703,03,2,2023102622,エリカアズーラ,03,2,西塚洸二,友道康夫,三木　正浩,550,1448,13
2026062810020202,02,10,1800,17,16,703,04,2,2023103775,リュネヴィル,03,2,加藤祥太,梅田智之,吉田　晴哉,550,2422,16
2026062810020202,02,10,1800,17,16,703,05,3,2023100926,モンロワイヤル,03,1,西村淳也,牧浦充徳,西浦　和男,570,0027,01
2026062810020202,02,10,1800,17,16,703,06,3,2023101308,グリミスティ,03,2,菱田裕二,森田直行,永嶋　啓一,550,0642,11
2026062810020202,02,10,1800,17,16,703,07,4,2023107543,チヨ,03,2,田山旺佑,鈴木孝志,寺田　寿男,510,0129,05
2026062810020202,02,10,1800,17,16,703,08,4,2023110077,エングルマン,03,1,幸英明　,西村真幸,吉田　和美,550,0097,04
