race_code,Ｒ,場コード,距離,コース,頭数,クラス名,馬番,枠番,ketto_toroku_bango,馬名,年齢,性別,騎手,調教師,馬主(最新/仮想),斤量,オッズ,人気
2026062802010601,01,02,1200,17,08,703,01,1,2024104976,チカバリエンテ,02,2,小林美駒,藤野健太,藤原牧場,520,0074,05
2026062802010601,01,02,1200,17,08,703,02,2,2024105339,パンジャケリー,02,1,岩田望来,橋田宜長,Ｄｅｅｐ　Ｃｒｅｅｋ,550,0052,04
2026062802010601,01,02,1200,17,08,703,03,3,2024106849,ウィルレーヴィア,02,1,横山琉人,尾形和幸,島川　隆哉,550,0731,07
2026062802010601,01,02,1200,17,08,703,04,4,2024102398,キセキノユニコーン,02,1,古川奈穂,伊坂重信,清水　真由美,530,0038,02
2026062802010601,01,02,1200,17,08,703,05,5,2024102983,シークレットタワー,02,1,丹内祐次,金成貴史,山口　春夫,550,0050,03
2026062802010601,01,02,1200,17,08,703,06,6,2024100352,ガーシュウィン,02,1,河原田菜,和田雄二,田島　榮二郎,510,0851,08
2026062802010601,01,02,1200,17,08,703,07,7,2024103288,ダイシンドラゴン,02,1,佐々木大,高橋一哉,大八木　信行,550,0024,01
2026062802010601,01,02,1200,17,08,703,08,8,2024100607,アイルドフルール,02,2,北村友一,田中克典,多田　信尊,550,0376,06
2026062802010602,02,02,1700,24,14,703,01,1,2023106570,メイショウタイザン,03,1,横山琉人,高橋義忠,松本　好隆,570,0077,04
2026062802010602,02,02,1700,24,14,703,02,2,2023104684,ロジクリスエス,03,3,黛弘人　,新開幸一,久米田　正平,570,0414,10
2026062802010602,02,02,1700,24,14,703,03,3,2023104042,ライカ,03,1,大野拓弥,杉浦宏昭,山岸　桂市,570,0048,02
2026062802010602,02,02,1700,24,14,703,04,3,2023101035,テリコス,03,1,岩田康誠,四位洋文,平沼　龍漢,570,0125,06
2026062802010602,02,02,1700,24,14,703,05,4,2023104101,テンレッドサン,03,2,丹内祐次,西園翔太,天白　泰司,550,0026,01
2026062802010602,02,02,1700,24,14,703,06,4,2023105187,アドフランマム,03,1,遠藤汰月,本田優　,榊原　源一郎,540,0727,11
2026062802010602,02,02,1700,24,14,703,07,5,2023107245,マルシュボヌール,03,2,舟山瑠泉,柴田卓　,キャロットファーム,540,0217,07
2026062802010602,02,02,1700,24,14,703,08,5,2023101979,サンオブザサン,03,1,斎藤新　,高橋一哉,岡田　牧雄,570,0323,08
2026062802010602,02,02,1700,24,14,703,09,6,2023101236,スマートイデアル,03,2,河原田菜,角田晃一,大川　徹,510,1774,13
2026062802010602,02,02,1700,24,14,703,10,6,2023104474,ヒルノボローニャ,03,3,横山和生,昆貢　　,ヒルノ,570,0055,03
2026062802010602,02,02,1700,24,14,703,11,7,2023100695,モノノケ,03,2,和田陽希,宮地貴稔,岡　浩二,520,2098,14
2026062802010602,02,02,1700,24,14,703,12,7,2023103280,ロスニーニョス,03,1,古川吉洋,大根田裕,小濱　正智,570,0377,09
2026062802010602,02,02,1700,24,14,703,13,8,2023102435,ルナノーヴァ,03,1,小沢大仁,緒方努　,ノルマンディーサラブレッドレーシング,570,1297,12
2026062802010602,02,02,1700,24,14,703,14,8,2023103360,ヤマメイッカ,03,1,佐々木大,久保田貴,越村　哲男,570,0084,05
2026062802010603,03,02,1000,24,11,703,01,1,2023107403,エコロセレナ,03,2,斎藤新　,斎藤誠　,原村　正紀,550,0072,03
2026062802010603,03,02,1000,24,11,703,02,2,2023102951,アジーザム,03,2,岩田康誠,松尾卓哉,飯田　貴大,550,1322,10
2026062802010603,03,02,1000,24,11,703,03,3,2023106975,ビップアリス,03,2,原優介　,松下武士,鈴木　邦英,550,1919,11
2026062802010603,03,02,1000,24,11,703,04,4,2023105382,ブザービーター,03,1,長浜鴻緒,黒岩陽一,Ｙ’ｓレーシング,560,0602,07
2026062802010603,03,02,1000,24,11,703,05,5,2023101742,ホワイトラバーズ,03,2,古川吉洋,大根田裕,上山　貴永,550,0874,09
2026062802010603,03,02,1000,24,11,703,06,5,2023104093,ハナイロマヒナ,03,2,北村友一,高橋亮　,岩崎　僖澄,550,0290,06
2026062802010603,03,02,1000,24,11,703,07,6,2023102427,イングラム,03,1,舟山瑠泉,千田輝彦,ノルマンディーサラブレッドレーシング,560,0016,01
2026062802010603,03,02,1000,24,11,703,08,6,2023105630,ビタミンドロップ,03,1,丹内祐次,松山将樹,山口　裕介,570,0049,02
2026062802010603,03,02,1000,24,11,703,09,7,2023100596,ジャーナーリア,03,1,遠藤汰月,本田優　,本間　茂,540,0000,00
2026062802010603,03,02,1000,24,11,703,10,7,2023102388,ウィズアツインクル,03,1,佐々木大,牧光二　,岡田　牧雄,570,0104,05
2026062802010603,03,02,1000,24,11,703,11,8,2023100977,コシタンタン,03,2,鷲頭虎太,竹内正洋,由井　健太郎,530,0707,08
2026062802010603,03,02,1000,24,11,703,12,8,2023100276,ヴェンデボヌール,03,1,小林美駒,久保田貴,福原　有一,540,0076,04
2026062802010604,04,02,2600,17,16,703,01,1,2023103767,ミカレオス,03,1,荻野琢真,河嶋宏樹,Ｋ’ｓレースホース,570,3802,16
